Date,Open,High,Low,Close,Adj Close,Volume
20150901,29.18,29.370001,28.4,28.639999,28.639999,16687400
20150902,29.01,29.219999,28.620001,29.209999,29.209999,10776300
20150903,29.379999,29.709999,29.02,29.110001,29.110001,11504200
20150904,28.780001,29.040001,28.57,28.879999,28.879999,13435300
20150908,29.5,29.940001,29.5,29.879999,29.879999,19298900
20150909,30.200001,30.4,29.52,29.620001,29.620001,16053600
20150910,29.190001,30.469999,29.190001,30,30,18672000
20150911,30.01,30.200001,29.58,30.15,30.15,15344700
20150914,30.110001,30.77,30.059999,30.719999,30.719999,20148900
20150915,30.77,31.549999,30.77,30.99,30.99,22400700
20150916,31.08,31.57,30.92,31.200001,31.200001,17076600
20150917,31.25,31.809999,31.129999,31.309999,31.309999,16644600
20150918,30.98,31.120001,30.469999,30.51,30.51,31085700
20150921,30.67,30.959999,30.379999,30.620001,30.620001,14325600
20150922,29.42,30.059999,29.41,30.030001,30.030001,17190200
20150923,30.01,30.139999,29.59,29.719999,29.719999,11277100
20150924,29.41,29.51,28.77,29.440001,29.440001,19687600
20150925,29.790001,29.84,29.23,29.41,29.41,13369400
20150928,29.290001,29.32,28.440001,28.559999,28.559999,15648900
20150929,28.66,29.290001,28.379999,29.15,29.15,17043700
20150930,29.620001,30.1,29.379999,30.02,30.02,18931900
20151001,30.290001,30.75,29.98,30.67,30.67,18261900
20151002,30.200001,31.76,30.16,31.73,31.73,16596600
20151005,31.9,32.16,31.52,31.76,31.76,15407500
20151006,31.809999,32.380001,31.809999,32.220001,32.220001,14214900
20151007,32.450001,33.189999,32.41,33.049999,33.049999,15238600
20151008,32.950001,33.509998,32.860001,33.43,33.43,12909800
20151009,33.34,33.630001,32.790001,32.950001,32.950001,14169100
20151012,33.040001,33.16,32.619999,33.02,33.02,10766400
20151013,32.849998,33.369999,32.709999,33.130001,33.130001,11789300
20151014,33.200001,33.5,32.919998,33.330002,33.330002,11974000
20151015,33.549999,33.66,33.16,33.32,33.32,10844300
20151016,33.369999,33.459999,32.880001,33.150002,33.150002,9445800
20151019,33,33.290001,32.799999,33.240002,33.240002,10084600
20151020,33.18,33.889999,33.080002,33.48,33.48,11758400
20151021,34.959999,35.869999,34.720001,35.419998,35.419998,36877400
20151022,35.639999,35.790001,34.970001,35.419998,35.419998,22708100
20151023,35.540001,36.060001,35.41,35.950001,35.950001,18277800
20151026,35.900002,35.939999,35.259998,35.669998,35.669998,14010800
20151027,35.389999,35.490002,34.740002,34.970001,34.970001,15536000
20151028,34.990002,35.299999,34.650002,35.220001,35.220001,9668600
20151029,35.040001,35.049999,34.110001,34.75,34.75,12087600
20151030,34.849998,35.200001,34.459999,34.91,34.91,10723900
20151102,34.880001,35.75,34.860001,35.57,35.57,11858400
20151103,35.529999,35.990002,35.360001,35.779999,35.779999,15144900
20151104,35.830002,35.919998,35.380001,35.419998,35.419998,12716600
20151105,35.529999,35.560001,35.189999,35.439999,35.439999,7679700
20151106,35.32,35.799999,35.259998,35.75,35.75,9376900
20151109,35.98,36.119999,35.439999,35.669998,35.669998,9997600
20151110,35.540001,35.630001,35.16,35.619999,35.619999,9687200
